"","Analysis","Calculus 1","Calculus 2","Caps","Complex","Linalg1","Linalg 2","Nummat 1","Ode","Prob","Stat","Statr"
"1011",NA,8.5,7.5,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"1012",NA,8,8.5,NA,NA,8,NA,NA,NA,NA,NA,NA
"1013",NA,8.5,8,NA,NA,8.5,NA,NA,NA,NA,NA,NA
"1014",NA,6.5,NA,NA,NA,6.5,NA,NA,NA,NA,NA,NA
"1015",NA,9,6.5,6,NA,9,6.5,NA,NA,5,NA,NA
"1016",NA,9.5,9.5,NA,NA,10,NA,NA,NA,NA,NA,NA
"1017",6,8,8.5,NA,NA,8.5,7.5,NA,NA,7,NA,NA
"1018",NA,10,7.5,NA,NA,7,NA,NA,NA,NA,NA,NA
"1019",NA,4,4,NA,NA,2,NA,NA,NA,NA,NA,NA
"1020",NA,5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1021",NA,6,6,NA,NA,3.5,NA,NA,NA,NA,NA,NA
"1022",NA,2.5,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA
"1023",9.5,9.5,8,7,NA,9.5,9.5,NA,NA,8,NA,NA
"1024",NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA
"1025",NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA
"1026",NA,8,7,NA,NA,7,NA,NA,NA,NA,NA,NA
"1027",NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1028",NA,8,6.5,NA,NA,7.5,NA,NA,NA,NA,NA,NA
"1029",3.5,8.5,6.5,8,NA,8,6,NA,NA,3,NA,NA
"1030",NA,7,6.5,NA,NA,6,NA,NA,NA,NA,NA,NA
"1031",2,7.5,3.5,7,NA,NA,3,NA,NA,NA,NA,NA
"1032",2,6.5,6.5,4.5,NA,7,6,NA,NA,4,NA,NA
"1033",NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA
"1034",NA,NA,7,NA,NA,7,NA,NA,NA,NA,NA,NA
